,player_name,0304_salary_adjusted,0405_salary_adjusted,0506_salary_adjusted,0607_salary_adjusted,0708_salary_adjusted,0809_salary_adjusted,0910_salary_adjusted,1011_salary_adjusted,1112_salary_adjusted,1213_salary_adjusted,1314_salary_adjusted,1415_salary_adjusted,1516_salary_adjusted,1617_salary_adjusted,1718_salary_adjusted,1819_salary_adjusted,1920_salary_adjusted,2021_salary_adjusted,2122_salary_adjusted,2223_salary_adjusted,2324_salary,2425_salary_predicted,2526_salary_predicted,2627_salary_predicted
44,Theo Ratliff,"$16,382,191 ","$17,084,351 ","$17,773,580 ","$17,037,759 ","$16,591,928 ","$1,709,325 ","$1,794,759 ","$1,838,213 ",,,,,,,,,,,,,,,,
45,Lamar Odom,"$16,071,437 ","$16,476,884 ","$17,466,860 ","$18,033,636 ","$18,841,694 ","$19,159,493 ","$10,303,220 ","$11,147,432 ","$11,683,255 ","$10,588,161 ",,,,,,,,,,,,,,
46,Mike Bibby,"$15,323,649 ","$16,400,977 ","$17,519,673 ","$18,254,743 ","$19,199,232 ","$20,290,228 ","$8,541,530 ","$7,564,983 ","$1,775,042 ",,,,,,,,,,,,,,,
47,Kerry Kittles,"$14,947,278 ","$14,943,113 ",,,,,,,,,,,,,,,,,,,,,,
48,Dale Davis,"$14,616,947 ","$15,727,366 ","$5,332,074 ","$5,111,328 ",,,,,,,,,,,,,,,,,,,,
49,Toni Kukoc,"$14,607,874 ","$4,685,993 ","$3,046,899 ",,,,,,,,,,,,,,,,,,,,,
50,Greg Ostertag,"$13,979,469 ","$6,247,991 ","$6,703,179 ",,,,,,,,,,,,,,,,,,,,,
51,Gilbert Arenas,"$13,768,702 ","$14,666,535 ","$15,605,001 ","$16,205,539 ","$16,995,445 ","$19,843,169 ","$22,244,075 ","$24,103,868 ","$25,295,308 ","$26,868,005 ","$28,357,220",,,,,,,,,,,,,
52,Jamal Mashburn,"$13,750,959 ","$14,526,580 ","$15,348,757 ",,,,,,,,,,,,,,,,,,,,,
53,Jason Terry,"$13,441,797 ","$11,714,984 ","$10,156,332 ","$11,829,073 ","$12,654,427 ","$12,452,875 ","$13,548,734 ","$14,478,068 ","$14,647,389 ","$6,456,196 ","$6,630,400","$6,775,508","$1,861,504","$1,907,631","$2,816,865",,,,,,,,,
54,Raef LaFrentz,"$13,192,452 ","$15,174,087 ","$16,184,046 ","$16,841,150 ","$17,692,856 ","$17,228,328 ",,,,,,,,,,,,,,,,,,
55,PJ Brown,"$12,904,126 ","$12,495,983 ","$12,187,598 ","$12,500,848 ",,,,,,,,,,,,,,,,,,,,
56,Wally Szczerbiak,"$12,904,126 ","$14,057,981 ","$15,234,498 ","$17,195,968 ","$18,168,162 ","$18,653,584 ",,,,,,,,,,,,,,,,,,
57,Andre Miller,"$12,904,126 ","$11,506,718 ","$12,339,943 ","$12,753,980 ","$13,320,948 ","$13,993,010 ","$9,246,522 ","$9,882,150 ","$10,249,402 ","$6,456,196 ","$6,344,880","$5,749,857","$1,850,554",,,,,,,,,,,
58,Glen Rice,"$12,718,628 ",,,,,,,,,,,,,,,,,,,,,,,
59,Erick Dampier,"$12,649,269 ","$12,027,383 ","$13,196,884 ","$14,060,533 ","$15,061,442 ","$15,644,635 ","$16,643,822 ","$1,535,448 ","$1,116,501 ",,,,,,,,,,,,,,,
60,Maurice Taylor,"$12,581,523 ","$13,198,882 ","$13,863,393 ","$12,509,490 ",,,,,,,,,,,,,,,,,,,,
61,Derek Anderson,"$12,571,845 ","$13,188,729 ","$16,396,890 ","$16,128,279 ","$1,734,458 ",,,,,,,,,,,,,,,,,,,
62,Wesley Person,"$12,420,221 ","$2,499,196 ","$2,681,271 ",,,,,,,,,,,,,,,,,,,,,
63,Alan Henderson,"$12,391,490 ","$12,922,603 ","$1,734,447 ","$1,720,835 ",,,,,,,,,,,,,,,,,,,,
64,Austin Croshere,"$12,275,050 ","$12,902,102 ","$12,035,253 ","$10,660,770 ","$1,734,458 ","$814,440 ",,,,,,,,,,,,,,,,,,
65,Kelvin Cato,"$11,845,987 ","$12,483,487 ","$13,162,606 ","$1,564,395 ",,,,,,,,,,,,,,,,,,,,
66,Marcus Camby,"$11,694,364 ","$13,276,982 ","$13,939,566 ","$12,851,339 ","$15,999,360 ","$13,541,621 ","$10,509,284 ","$15,973,227 ","$14,738,296 ","$5,927,224 ","$4,293,927","$10,386,314",,,,,,,,,,,,
67,Rashard Lewis,"$11,312,058 ","$12,171,412 ","$13,058,142 ","$13,655,496 ","$21,161,820 ","$22,273,085 ","$25,931,144 ","$26,609,344 ","$27,746,592 ","$19,435,966 ","$1,775,940",,,,,,,,,,,,,
68,Brad Miller,"$11,291,110 ","$12,300,733 ","$13,330,186 ","$14,056,152 ","$14,932,736 ","$15,403,594 ","$16,828,593 ","$5,981,549 ","$6,238,071 ","$1,094,970 ",,,,,,,,,,,,,,
69,Bonzi Wells,"$11,291,110 ","$12,027,383 ","$12,187,598 ","$3,088,702 ","$3,248,510 ",,,,,,,,,,,,,,,,,,,
70,Corey Maggette,"$11,291,110 ","$10,933,985 ","$10,664,149 ","$10,222,656 ","$9,955,157 ","$11,206,859 ","$12,278,596 ","$13,050,653 ","$13,471,278 ","$14,105,675 ",,,,,,,,,,,,,,
71,Jerry Stackhouse,"$11,139,890 ","$11,617,359 ","$12,746,989 ","$13,576,964 ","$9,599,616 ","$9,479,135 ","$3,666,019 ","$302,764 ","$1,775,042 ","$1,745,989 ",,,,,,,,,,,,,,
72,Doug Christie,"$11,129,808 ","$11,793,084 ","$14,891,721 ","$230,843 ",,,,,,,,,,,,,,,,,,,,
73,Ron Mercer,"$10,887,856 ","$2,499,196 ","$2,681,271 ",,,,,,,,,,,,,,,,,,,,,
74,Shandon Anderson,"$10,807,205 ","$12,767,299 ","$13,612,023 ","$10,580,049 ",,,,,,,,,,,,,,,,,,,,
75,Lorenzen Wright,"$10,645,904 ","$11,168,284 ","$11,730,564 ","$4,746,233 ","$4,622,037 ","$1,709,325 ",,,,,,,,,,,,,,,,,,
76,Chris Mills,"$10,645,904 ",,,,,,,,,,,,,,,,,,,,,,,
77,Bo Outlaw,"$10,621,708 ","$11,922,579 ","$1,734,447 ","$1,720,835 ","$227,647 ",,,,,,,,,,,,,,,,,,,
78,Richard Hamilton,"$10,484,602 ","$12,203,108 ","$13,139,755 ","$13,417,236 ","$14,221,653 ","$14,641,878 ","$15,969,991 ","$16,993,037 ","$22,972,693 ","$13,558,011 ","$1,268,976",,,,,,,,,,,,,
79,Hakeem Olajuwon,"$10,205,426 ",,,,,,,,,,,,,,,,,,,,,,,
80,Bob Sura,"$10,108,231 ","$4,998,393 ","$5,362,543 ","$5,607,857 ","$5,461,115 ",,,,,,,,,,,,,,,,,,,
81,Predrag Stojakovic,"$10,081,348 ","$10,738,735 ","$11,425,874 ","$15,772,098 ","$16,588,136 ","$16,964,943 ","$18,397,430 ","$21,115,303 ",,,,,,,,,,,,,,,,
82,Eddie Robinson,"$10,007,149 ","$7,896,767 ","$8,294,337 ",,,,,,,,,,,,,,,,,,,,,
83,Michael Dickerson,"$9,980,535 ",,,,,,,,,,,,,,,,,,,,,,,
84,Jason Williams,"$9,980,535 ","$10,738,735 ","$11,521,089 ","$12,048,130 ","$12,710,603 ","$1,709,325 ","$1,794,759 ","$2,551,871 ",,,,,,,,,,,,,,,,
85,Tariq Abdul-Wahad,"$9,980,535 ","$10,543,485 ","$5,570,113 ","$2,875,122 ",,,,,,,,,,,,,,,,,,,,
86,Charlie Ward,"$9,726,485 ","$2,655,396 ","$2,848,851 ",,,,,,,,,,,,,,,,,,,,,
87,Jerome Williams,"$9,657,932 ","$9,664,861 ","$10,085,334 ","$10,243,685 ","$10,864,490 ",,,,,,,,,,,,,,,,,,,
88,Howard Eisley,"$9,426,061 ","$9,843,589 ","$9,029,462 ","$237,545 ",,,,,,,,,,,,,,,,,,,,
89,Jonathan Bender,"$9,355,491 ","$10,192,036 ","$10,930,752 ",,,,"$1,100,879 ",,,,,,,,,,,,,,,,,
90,Steve Nash,"$9,274,840 ","$13,667,481 ","$14,663,205 ","$15,333,984 ","$16,177,131 ","$16,588,486 ","$18,030,635 ","$14,017,132 ","$15,344,528 ","$11,492,029 ","$11,802,112","$12,060,404",,,,,,,,,,,,
91,Vitaly Potapenko,"$9,218,385 ","$9,670,719 ","$5,057,853 ","$5,366,287 ",,,,,,,,,,,,,,,,,,,,
92,Al Harrington,"$9,182,092 ","$9,879,636 ","$10,599,402 ","$11,135,393 ","$11,982,632 ","$12,493,838 ","$13,774,546 ","$7,837,189 ","$8,173,290 ","$8,635,033 ","$10,847,342","$9,460,598",,,,,,,,,,,,
93,Jason Caffey,"$9,174,027 ","$6,479,398 ",,,,,,,,,,,,,,,,,,,,,,
94,Jahidi White,"$9,155,624 ","$9,632,006 ",,,,,,,,,,,,,,,,,,,,,,
95,Christian Laettner,"$9,073,213 ","$10,309,185 ",,,,,,,,,,,,,,,,,,,,,,
96,Radoslav Nesterovic,"$9,032,888 ","$9,621,907 ","$10,237,583 ","$10,631,562 ","$11,149,776 ","$11,374,962 ","$2,733,787 ",,,,,,,,,,,,,,,,,
97,Eric Williams,"$8,936,107 ","$5,591,952 ","$5,999,345 ","$6,273,790 ",,,,,,,,,,,,,,,,,,,,
98,Alvin Williams,"$8,871,586 ","$9,137,687 ","$9,597,734 ","$6,699,501 ","$6,423,187 ",,,,,,,,,,,,,,,,,,,
99,Kenny Thomas,"$8,871,586 ","$9,371,987 ","$9,902,424 ","$10,496,477 ","$11,199,552 ","$11,595,013 ","$12,054,767 ",,,,,,,,,,,,,,,,,
100,Ben Wallace,"$8,871,586 ","$10,933,985 ","$11,425,874 ","$23,366,071 ","$22,043,563 ","$19,635,351 ","$1,794,745 ","$2,827,641 ","$2,948,906 ",,,,,,,,,,,,,,,
101,Metta World Peace,"$8,829,138 ","$9,618,619 ","$10,423,603 ","$10,991,277 ","$10,524,023 ","$10,020,800 ","$8,042,006 ","$8,594,833 ","$8,914,245 ","$9,373,054 ","$11,823,405","$310,803","$1,861,504","$1,907,631",,,,,,,,,,
102,Calvin Booth,"$8,785,774 ","$9,216,880 ","$11,052,777 ","$11,141,026 ","$1,568,968 ","$1,787,021 ",,,,,,,,,,,,,,,,,,
103,Ruben Patterson,"$8,783,838 ","$9,214,850 ","$9,678,781 ","$9,940,803 ","$433,613 ",,,,,,,,,,,,,,,,,,,
104,Todd MacCulloch,"$8,783,838 ","$9,214,850 ","$9,678,781 ",,,,,,,,,,,,,,,,,,,,,
105,Joe Smith,"$8,783,838 ","$9,214,850 ","$9,678,781 ","$9,940,803 ","$7,395,259 ","$6,493,207 ","$1,794,759 ","$1,838,213 ",,,,,,,,,,,,,,,,
106,Clarence Weatherspoon,"$8,783,838 ","$9,214,850 ","$9,678,781 ",,,,,,,,,,,,,,,,,,,,,
107,Avery Johnson,"$8,783,838 ","$1,718,197 ",,,,,,,,,,,,,,,,,,,,,,
108,Danny Fortson,"$8,756,420 ","$9,087,916 ","$9,457,074 ","$9,634,108 ",,,,,,,,,,,,,,,,,,,,
109,Brent Barry,"$8,710,285 ","$6,661,764 ","$7,147,097 ","$7,474,047 ","$7,885,011 ","$2,586,449 ","$2,833,797 ",,,,,,,,,,,,,,,,,
110,Kurt Thomas,"$8,700,808 ","$9,191,576 ","$10,085,332 ","$11,422,331 ","$11,507,007 ","$5,687,481 ","$5,220,298 ","$1,838,213 ","$1,775,042 ","$1,745,989 ",,,,,,,,,,,,,,
111,Cuttino Mobley,"$8,700,808 ","$9,191,576 ","$10,968,839 ","$11,865,583 ","$11,875,080 ","$12,322,875 ","$13,050,745 ",,,,,,,,,,,,,,,,,
112,Scot Pollard,"$8,564,408 ","$9,047,482 ","$9,559,551 ","$3,212,834 ","$1,734,458 ",,,,,,,,,,,,,,,,,,,
113,Kenyon Martin,"$8,272,656 ","$14,767,980 ","$16,203,967 ","$17,624,125 ","$18,843,691 ","$19,543,019 ","$21,105,990 ","$22,492,602 ","$3,281,813 ","$554,607 ","$1,775,940","$1,017,008",,,,,,,,,,,,
114,Sam Cassell,"$8,165,892 ","$9,762,486 ","$10,473,717 ","$10,003,599 ","$8,746,317 ","$1,709,325 ",,,,,,,,,,,,,,,,,,
115,Larry Hughes,"$8,066,046 ","$8,521,010 ","$15,759,936 ","$19,515,068 ","$17,066,103 ","$17,370,753 ","$18,759,097 ",,"$544,049 ",,,,,,,,,,,,,,,
116,Keon Clark,"$8,066,046 ",,,,,,,,,,,,,,,,,,,,,,,
117,Jerome James,"$8,066,046 ","$8,521,010 ","$7,617,249 ","$7,886,049 ","$8,248,559 ","$8,395,805 ","$9,066,833 ",,,,,,,,,,,,,,,,,
118,Chauncey Billups,"$8,066,046 ","$8,521,010 ","$9,003,284 ","$9,294,439 ","$14,221,653 ","$14,963,492 ","$16,622,528 ","$17,876,675 ","$18,640,699 ","$3,873,717 ","$3,172,440",,,,,,,,,,,,,
119,Ricky Davis,"$8,066,046 ","$8,521,010 ","$9,003,284 ","$9,294,439 ","$9,697,745 ","$3,114,573 ","$3,412,426 ",,,,,,,,,,,,,,,,,
120,Brevin Knight,"$8,065,078 ","$1,456,634 ","$7,007,869 ","$6,425,669 ","$2,275,464 ","$2,708,324 ",,,,,,,,,,,,,,,,,,
121,Aaron McKie,"$8,065,078 ","$8,590,988 ","$12,949,323 ","$11,786,538 ","$11,021,781 ",,,,,,,,,,,,,,,,,,,
122,Reggie Miller,"$8,065,078 ","$8,590,988 ","$9,140,699 ",,,,,,,,,,,,,,,,,,,,,
123,Corliss Williamson,"$8,065,078 ","$8,590,988 ","$9,140,699 ","$9,492,466 ",,,,,,,,,,,,,,,,,,,,
124,Nazr Mohammed,"$8,065,078 ","$8,200,488 ","$8,378,974 ","$7,615,879 ","$8,009,919 ","$8,191,868 ","$8,883,573 ","$9,358,133 ","$4,922,720 ","$1,745,989 ","$1,775,940","$1,800,780","$437,999",,,,,,,,,,,
125,Juwan Howard,"$7,931,198 ","$8,448,377 ","$8,988,963 ","$9,334,891 ","$11,512,424 ","$11,314,862 ","$1,794,759 ","$1,838,213 ","$1,775,042 ","$482,714 ",,,,,,,,,,,,,,
126,Michael Olowokandi,"$7,931,198 ","$8,448,377 ","$8,988,963 ","$1,611,127 ",,,,,,,,,,,,,,,,,,,,
127,James Posey,"$7,931,198 ","$8,448,377 ","$8,988,963 ","$9,334,891 ","$4,559,462 ","$7,562,995 ","$8,286,261 ","$9,718,386 ","$9,970,936 ",,,,,,,,,,,,,,,
128,Gary Payton,"$7,931,198 ","$8,448,377 ","$1,734,447 ","$1,720,835 ",,,,,,,,,,,,,,,,,,,,
129,Scottie Pippen,"$7,931,198 ","$8,448,377 ",,,,,,,,,,,,,,,,,,,,,,
130,Alonzo Mourning,"$7,931,198 ","$8,448,377 ","$7,828,246 ","$9,821,683 ","$3,928,731 ",,,,,,,,,,,,,,,,,,,
131,Malik Rose,"$7,929,988 ","$8,532,413 ","$9,154,029 ","$10,989,935 ","$10,099,151 ","$10,355,955 ",,,,,,,,,,,,,,,,,,
132,Rick Fox,"$7,637,302 ","$7,497,589 ",,,,,,,,,,,,,,,,,,,,,,
133,Clifford Robinson,"$7,581,174 ","$8,259,063 ","$3,808,624 ","$2,336,607 ","$711,082 ",,,,,,,,,,,,,,,,,,,
134,Donyell Marshall,"$7,428,253 ","$7,847,243 ","$7,311,200 ","$8,226,371 ","$8,557,119 ","$9,767,800 ",,,,,,,,,,,,,,,,,,
135,Stromile Swift,"$7,407,642 ","$9,361,217 ","$7,617,249 ","$7,886,049 ","$8,248,559 ","$8,395,805 ",,,,,,,,,,,,,,,,,,
136,Devean George,"$7,332,769 ","$7,100,842 ","$7,618,163 ","$2,883,167 ","$3,369,267 ","$2,166,659 ","$2,198,020 ",,,,,,,,,,,,,,,,,
137,Lamond Murray,"$7,258,571 ","$7,614,739 ","$9,732,558 ",,,,,,,,,,,,,,,,,,,,,
138,Robert Horry,"$7,258,571 ","$1,718,197 ","$4,570,349 ","$4,841,158 ","$5,162,460 ",,,,,,,,,,,,,,,,,,,
139,Eric Snow,"$7,258,571 ","$7,614,739 ","$8,355,170 ","$8,899,187 ","$9,532,952 ","$9,902,311 ",,,,,,,,,,,,,,,,,,
140,Michael Stewart,"$7,226,310 ","$7,497,589 ",,,,,,,,,,,,,,,,,,,,,,
141,Ervin Johnson,"$7,126,555 ","$7,556,372 ","$1,734,447 ",,,,,,,,,,,,,,,,,,,,,
142,Travis Knight,"$7,101,302 ",,,,,,,,,,,,,,,,,,,,,,,
143,Adonal Foyle,"$7,097,269 ","$10,152,986 ","$11,140,227 ","$11,865,583 ","$14,445,061 ","$10,917,627 ","$1,794,759 ",,,,,,,,,,,,,,,,,
144,Tony Battie,"$7,097,269 ","$7,497,589 ","$7,921,939 ","$8,391,340 ","$7,395,259 ","$7,781,015 ","$8,643,714 ","$1,838,213 ","$1,775,042 ",,,,,,,,,,,,,,,
145,Anthony Mason,"$7,013,544 ","$7,357,689 ",,,,,,,,,,,,,,,,,,,,,,
146,Matt Harpring,"$6,919,837 ","$7,325,770 ","$7,647,718 ","$9,492,466 ","$8,532,992 ","$8,124,973 ","$8,929,457 ",,,,,,,,,,,,,,,,,
147,Kwame Brown,"$6,858,672 ","$8,375,234 ","$11,425,874 ","$12,102,895 ","$12,906,150 ","$5,416,648 ","$5,632,427 ","$1,671,102 ","$8,860,896 ","$3,873,717 ","$3,806,928",,,,,,,,,,,,,
148,Zeljko Rebraca,"$6,774,666 ","$3,904,994 ","$4,570,349 ","$4,731,629 ",,,,,,,,,,,,,,,,,,,,
149,Yao Ming,"$6,690,079 ","$6,930,397 ","$8,523,558 ","$18,189,026 ","$19,572,942 ","$20,407,969 ","$22,499,932 ","$24,043,245 ",,,,,,,,,,,,,,,,
150,Darius Miles,"$6,662,885 ","$10,543,485 ","$11,045,011 ","$11,317,941 ","$11,732,864 ","$13,141,807 ","$12,363,864 ",,,,,,,,,,,,,,,,,
151,LeBron James,"$6,482,581 ","$6,748,393 ","$7,041,080 ","$8,511,223 ","$18,546,814 ","$19,514,263 ","$21,677,854 ","$19,711,923 ","$21,033,142 ","$22,654,792 ","$24,196,202","$25,665,376","$28,521,911","$38,066,911","$40,264,218","$41,925,309","$43,307,655","$45,078,836","$44,911,401","$44,474,988","$47,607,350","$51,415,938",$0,$0
152,Derrick Coleman,"$6,452,063 ","$7,028,990 ","$3,046,899 ",,,,,,,,,,,,,,,,,,,,,
153,Jeff Foster,"$6,452,063 ","$7,028,990 ","$7,617,249 ","$8,032,087 ","$7,821,909 ","$7,447,892 ","$8,349,042 ","$9,047,093 ","$3,938,176 ",,,,,,,,,,,,,,,
154,Elden Campbell,"$6,452,063 ","$6,872,790 ",,,,,,,,,,,,,,,,,,,,,,
155,David Wesley,"$6,387,542 ","$6,958,700 ","$7,723,890 ","$2,555,664 ","$355,541 ",,,,,,,,,,,,,,,,,,,
156,Marc Jackson,"$6,290,761 ","$6,599,441 ","$6,931,696 ","$7,119,350 ",,,,,,,,,,,,,,,,,,,,
